title,publishedAt,duration,views,likes,comments
Create your own VPN using Pritunl on Linux VPS 🔥,2023-12-23T05:30:03Z,PT11M2S,21500,842,61
Advanced JavaScript | Sigma Web Development Course - Tutorial #82,2023-12-22T16:32:12Z,PT14M23S,135581,5442,404
JavaScript Exercise 14 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #81,2023-12-21T16:19:48Z,PT18M41S,99422,3430,246
Classes & Objects - Object Oriented Programming in Js | Sigma Web Development Course - Tutorial #80,2023-12-21T05:30:02Z,PT20M43S,142019,5505,388
Julius AI: An Amazing Conversational AI for Data Science with File Upload🔥,2023-12-20T13:40:18Z,PT20M31S,26395,1187,110
Amazing Productivity Tool!,2023-12-19T16:30:06Z,PT58S,88848,7997,42
Code 10x Faster with Pieces for Developers Developer Productivity Platform (It's Game Changing) 🔥,2023-12-19T08:30:10Z,PT18M57S,66956,2838,135
JavaScript try catch & Error Handling | Sigma Web Development Course - Tutorial #79,2023-12-18T11:30:00Z,PT15M59S,123216,5687,405
JavaScript Exercise 14 - Hacker's Terminal | Sigma Web Development Course - Tutorial #78,2023-12-17T13:27:53Z,PT3M58S,99063,4175,858
OneEntry CMS Tutorial: Management system for apps and websites🔥,2023-12-16T11:30:21Z,PT34M46S,11903,402,78
JavaScript Exercise 13 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #77,2023-12-16T05:30:07Z,PT24M13S,134543,4138,266
Machine Learning & Artificial Intelligence tools from AWS you must know,2023-12-15T11:30:14Z,PT10M11S,19599,972,75
Async/Await & Fetch API in JavaScript with Examples | Sigma Web Development Course - Tutorial #76,2023-12-14T13:25:05Z,PT23M41S,232037,7836,561
Website Using Pure Python: Lets build a Stock Simulator Using Taipy 🔥,2023-12-14T05:30:04Z,PT43M9S,33151,1230,94
JavaScript Callbacks & Promises | Sigma Web Development Course - Tutorial #75,2023-12-13T11:33:21Z,PT32M24S,279282,8672,709
"Events, Event Bubbling, setInterval & setTimeout | Sigma Web Development Course - Tutorial #74",2023-12-12T13:42:39Z,PT27M51S,238402,8997,799
JavaScript Exercise 13 - Dynamic Website Builder | Sigma Web Development Course - Tutorial #73,2023-12-11T14:11:07Z,PT6M14S,155784,5415,1054
JavaScript Exercise 12 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #72,2023-12-10T13:30:49Z,PT17M27S,138387,5001,424
Inserting and Removing Elements using JavaScript | Sigma Web Development Course - Tutorial #71,2023-12-09T13:43:00Z,PT23M48S,243579,9103,608
Earn by Building Apps with this Low Code Tool | FlutterFlow Tutorial 🔥,2023-12-08T14:11:50Z,PT33M25S,426180,12909,954
JavaScript Exercise 12 - Color the Boxes | Sigma Web Development Course - Tutorial #70,2023-12-07T15:01:38Z,PT3M54S,137233,5002,1224
Acorn: A Platform to Develop and Run Your Apps on the Cloud 🔥,2023-12-07T05:30:10Z,PT14M50S,10618,492,42
JavaScript Exercise 11 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #69,2023-12-06T15:58:55Z,PT11M52S,145980,5007,516
"JavaScript -  Selecting by Ids, Classes, and More | Sigma Web Development Course - Tutorial #68",2023-12-05T16:03:03Z,PT18M15S,216001,8900,595
"JavaScript DOM - Children, Parent & Sibling Nodes | Sigma Web Development Course - Tutorial #67",2023-12-04T17:31:01Z,PT18M56S,247148,9734,867
Document Object Model in JavaScript | Sigma Web Development Course - Tutorial #66,2023-12-03T16:05:32Z,PT8M51S,244065,9397,585
How to build a WordPress website with Elementor in 15 Minutes 🔥,2023-12-02T05:30:02Z,PT19M46S,115770,2162,221
All About Machine Learning & Deep Learning in 2025 🔥,2023-12-01T13:30:07Z,PT15M20S,815789,29938,941
JavaScript Exercise 11 - Calculate the Factorial | Sigma Web Development Course - Tutorial #65,2023-12-01T08:20:52Z,PT3M23S,141711,5622,1876
5 Health Tips for All Programmers | How to Stay Healthy as a Programmer ft @TheSleepCompany Ultron,2023-11-30T10:45:15Z,PT14M6S,134672,6519,376
JavaScript Exercise 10 - Solution | Sigma Web Development Course - Tutorial #64,2023-11-29T11:45:40Z,PT11M28S,170687,6461,598
JavaScript Arrays | Sigma Web Development Course - Tutorial #63,2023-11-28T11:30:16Z,PT30M52S,321701,12358,3286
JavaScript Exercise 10 - Business Name Generator | Sigma Web Development Course - Tutorial #62,2023-11-27T12:53:52Z,PT3M58S,177053,6681,1721
JavaScript Exercise 9 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #61,2023-11-26T12:30:32Z,PT10M54S,210484,7019,654
JavaScript Strings | Sigma Web Development Course - Tutorial #60,2023-11-25T11:30:33Z,PT18M2S,249772,9662,655
Exercise 9 - Faulty Calculator | Sigma Web Development Course - Tutorial #59,2023-11-24T11:30:08Z,PT5M31S,221990,8347,1735
JavaScript Functions | Sigma Web Development Course - Tutorial #58,2023-11-23T11:30:15Z,PT12M26S,267336,10655,724
JavaScript Loops | Sigma Web Development Course - Tutorial #57,2023-11-22T11:30:24Z,PT16M1S,298110,12395,1611
"JavaScript Conditionals: if, else if,  else ladder | Sigma Web Development Course - Tutorial #56",2023-11-21T11:30:01Z,PT24M24S,338405,14882,1377
What is Hosting? | Best WordPress Hosting for 2025 🔥,2023-11-20T13:09:40Z,PT14M42S,40214,1306,107
How to Host Multiple WordPress Websites on a Linux VPS 🔥,2023-11-20T05:30:02Z,PT22M1S,11112,402,58
"JavaScript Variables, Data Types & Objects | Sigma Web Development Course - Tutorial #55",2023-11-19T11:30:06Z,PT20M20S,422054,15575,3698
Introduction to JavaScript & Installing Node.js | Sigma Web Development Course - Tutorial #54,2023-11-18T15:03:44Z,PT20M23S,566460,26108,5278
Netflix Clone Using HTML & CSS | Sigma Web Development Course - Tutorial #53,2023-11-17T17:48:45Z,PT1H57M23S,1193841,25190,3666
Stackry: An Amazing International Shopping Service for Tech Enthusiasts 🔥,2023-11-17T05:30:07Z,PT10M51S,60957,2231,184
Figma Basics in One Video | Sigma Web Development Course - Tutorial #52,2023-11-17T02:30:26Z,PT27M20S,484392,18253,1142
Exercise 8: Solution & Shoutouts | Sigma Web Development Course - Tutorial #51,2023-11-16T17:30:07Z,PT7M20S,135415,6531,482
CSS Filters | Sigma Web Development Course - Tutorial #50,2023-11-16T13:17:40Z,PT9M6S,153885,11069,2281
CSS Object-fit and Object-cover | Sigma Web Development Course - Tutorial #49,2023-11-15T11:30:18Z,PT15M25S,190492,11849,948
"Creating a Daily Task Planner MVP CRUD App using TiDB Serverless, Next.js, and Tailwind CSS 🔥",2023-11-15T05:30:00Z,PT57M20S,15735,627,49
Exercise 8 - Bounce Animation | Sigma Web Development Course - Tutorial #48,2023-11-14T11:30:09Z,PT4M44S,151642,7139,1253
Exercise 7 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #47,2023-11-13T11:30:31Z,PT38M39S,212033,7301,653
CSS Animations | Sigma Web Development Course - Tutorial #46,2023-11-12T11:30:24Z,PT17M57S,260538,11723,874
CSS Transition Property | Sigma Web Development Course - Tutorial #45,2023-11-11T11:30:20Z,PT13M33S,257232,14834,1066
Exercise 7 - Design the Grid | Sigma Web Development Course - Tutorial #44,2023-11-10T11:30:29Z,PT5M41S,185269,11941,1676
Exercise 6 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #43,2023-11-09T11:30:17Z,PT20M27S,217761,7174,536
Studio3T: A Better & Powerful Alternative to MongoDB Compass 🔥,2023-11-09T05:30:12Z,PT21M56S,11107,327,26
CSS Transforms MasterClass | Sigma Web Development Course - Tutorial #42,2023-11-08T14:59:43Z,PT11M22S,241494,11302,957
5 Tools Every Programmer Must Use (10X Profits!) 🔥,2023-11-08T05:30:12Z,PT11M47S,92617,5571,177
Exercise 6 - Navbar using Flexbox | Sigma Web Development Course - Tutorial #41,2023-11-07T11:30:03Z,PT3M21S,215190,8441,1381
How to Launch Your Course Online using WordPress?,2023-11-07T05:30:09Z,PT26M23S,12567,627,54
Exercise 5 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #40,2023-11-06T13:20:20Z,PT15M50S,208441,7713,646
How to Install and Setup GitLab on Ubuntu VPS 🔥,2023-11-06T05:30:02Z,PT10M56S,12647,487,43
CSS Grid - Ultimate MasterClass | Sigma Web Development Course - Tutorial #39,2023-11-05T15:09:31Z,PT32M12S,462990,15931,1321
CSS Flexbox - Ultimate MasterClass | Sigma Web Development Course - Tutorial #38,2023-11-03T15:49:42Z,PT27M58S,474661,19697,2875
5 Productivity Tips For all Programmers 🔥,2023-11-03T05:30:09Z,PT6M47S,63411,4181,191
CSS Exercise 5 - Design this Layout | Sigma Web Development Course - Tutorial #37,2023-11-02T14:17:05Z,PT7M16S,235714,9515,2952
A New Icon Library for your Web Development Projects 🔥,2023-11-02T08:27:49Z,PT12M27S,25633,1455,116
Exercise 4 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #36,2023-11-01T11:30:31Z,PT13M45S,215137,8981,637
More on CSS Selectors | Sigma Web Development Course - Tutorial #35,2023-10-31T14:47:33Z,PT13M24S,240326,13551,1812
Build an AI Chatbot on your Custom Data 🔥,2023-10-31T05:30:05Z,PT21M34S,567107,13387,398
This AI Website Builder Blew My Mind 🤯,2023-10-30T14:59:17Z,PT14M57S,33081,1818,190
CSS Float & Clear | Sigma Web Development Course - Tutorial #34,2023-10-29T16:03:52Z,PT10M42S,265983,14349,2461
Exercise 4 - Multi Color Website | Sigma Web Development Course - Tutorial #33,2023-10-28T14:34:50Z,PT2M33S,242338,10822,3498
Exercise 3 - Solution | Sigma Web Development Course - Tutorial #32,2023-10-27T16:15:00Z,PT19M48S,289806,10795,903
CSS Media Queries | Sigma Web Development Course - Tutorial #31,2023-10-26T16:30:10Z,PT11M37S,403120,19388,1393
CSS Variables | Sigma Web Development Course - Tutorial #30,2023-10-25T16:11:16Z,PT13M20S,330414,15534,1471
Exercise 3 - Design this Card  | Sigma Web Development Course - Tutorial #29,2023-10-24T12:47:23Z,PT6M18S,326050,14240,6537
CSS Position Property | Sigma Web Development Course - Tutorial #28,2023-10-23T14:30:13Z,PT24M5S,452859,19310,1980
Best WordPress Hosting for 2025 & Beyond 🔥,2023-10-23T08:27:49Z,PT15M46S,43770,1462,187
Exercise 2 - Solutions and Shoutouts | Sigma Web Development Course - Tutorial #27,2023-10-22T14:35:53Z,PT10M16S,245874,10207,792
CSS Overflow Property | Sigma Web Development Course - Tutorial #26,2023-10-21T11:44:36Z,PT8M21S,292995,14942,1708
Styling Lists using CSS | Sigma Web Development Course - Tutorial #25,2023-10-20T11:51:37Z,PT9M52S,305769,16998,2907
CSS Shadows and Outlines | Sigma Web Development Course - Tutorial #24,2023-10-19T12:02:37Z,PT13M10S,335678,21646,3342
CSS Display Property | Sigma Web Development Course - Tutorial #23,2023-10-18T11:30:18Z,PT12M8S,399373,19829,2183
"CSS Sizing Units - px, rem, em, vh, vw, % & more | Sigma Web Development Course - Tutorial #22",2023-10-17T14:15:59Z,PT26M24S,498976,20466,2426
Money Making Machine 🔥,2023-10-17T08:49:56Z,PT55S,288410,29795,124
CSS Specificity & Cascade | Sigma Web Development Course - Tutorial #21,2023-10-16T11:38:40Z,PT20M7S,474047,24290,3661
Exercise 2 - CSS Challenge | Sigma Web Development Course - Tutorial #20,2023-10-15T14:40:42Z,PT4M19S,369289,16285,11049
Python Project: Uploading files to S3 Compatible Storage using Python 🔥,2023-10-15T05:30:14Z,PT30M53S,18346,620,73
"CSS Fonts, Text & Color Properties | Sigma Web Development Course - Tutorial #19",2023-10-14T13:55:57Z,PT32M8S,585383,31005,3374
"CSS Box Model - Margin, Padding & Borders | Sigma Web Development Course - Tutorial #18",2023-10-13T12:46:55Z,PT17M41S,576931,26213,4840
Wazuh: An Easy Cybersecurity tool for Beginners 🔥,2023-10-13T05:30:03Z,PT14M19S,29606,1174,95
CSS Selectors MasterClass | Sigma Web Development Course - Tutorial #17,2023-10-12T14:19:07Z,PT14M,585936,24994,2758
"Q&A Search with LangChain, CassIO & AstraDB 🔥",2023-10-12T05:30:09Z,PT22M36S,11530,414,76
Exercise 1 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #16,2023-10-11T15:49:45Z,PT7M19S,378968,14041,1135
OpenAI Whisper Tutorial + Audio to Text Translator Website Project 🔥,2023-10-11T04:30:09Z,PT44M56S,97983,2115,97
"Inline, Internal & External CSS | Sigma Web Development Course - Tutorial #15",2023-10-10T14:54:34Z,PT11M4S,420541,21760,2495
Free Coding AI for Everyone🔥,2023-10-10T05:29:11Z,PT41S,484846,47534,213
Introduction to CSS | Sigma Web Development Course - Tutorial #14,2023-10-09T13:03:17Z,PT9M14S,495067,28742,3766
"Entities, Code tag and more on HTML | Sigma Web Development Course - Tutorial #13",2023-10-08T13:01:59Z,PT9M21S,449289,22611,2621
Exercise 1 - Pure HTML Media Player | Sigma Web Development Course - Tutorial #12,2023-10-07T13:53:48Z,PT3M41S,449172,21274,8966
Semantic Tags  in HTML | Sigma Web Development Course - Tutorial #11,2023-10-06T13:31:01Z,PT10M42S,513402,37325,1913
"Video, Audio & Media in HTML | Sigma Web Development Course - Tutorial #10",2023-10-05T14:30:08Z,PT14M48S,699859,38738,5283
How to Make Money With AI and Machine Learning (This works) 🔥,2023-10-05T04:49:41Z,PT11M32S,157322,7677,404
Id & Classes in HTML | Sigma Web Development Course - Tutorial #9,2023-10-04T15:39:25Z,PT10M57S,527602,28744,3076
Inline & Block Elements in HTML | Sigma Web Development Course - Tutorial #8,2023-10-03T14:09:32Z,PT10M52S,615500,35995,8948
Is DPN the new VPN? | Deeper Connect Air Unboxing and First Look 🔥,2023-10-03T11:11:51Z,PT11M48S,106410,3239,304
Forms and input tags in HTML | Sigma Web Development Course - Tutorial #7,2023-10-02T15:13:49Z,PT14M53S,869358,59721,6648
SEO and Core Web Vitals in HTML | Sigma Web Development Course - Tutorial #6,2023-10-01T13:49:07Z,PT13M16S,862764,36953,4591
"Image, Lists, and Tables in HTML | Sigma Web Development Course - Tutorial #5",2023-09-30T14:30:00Z,PT18M20S,1162943,77216,9306
AI + Graphic Designing = Money ₹₹₹₹  🔥,2023-09-30T09:01:47Z,PT15M2S,45428,2577,280
"Heading, Paragraphs and Links | Sigma Web Development Course - Tutorial #4",2023-09-29T15:45:43Z,PT19M34S,1171390,64525,7117
Basic Structure of an HTML Website | Sigma Web Development Course - Tutorial #3,2023-09-28T16:41:18Z,PT11M12S,1280858,57646,7517
Your First HTML Website | Sigma Web Development Course - Tutorial #2,2023-09-27T15:47:25Z,PT28M31S,2013884,99109,28307
Installing VS Code & How Websites Work | Sigma Web Development Course - Tutorial #1,2023-09-26T14:39:53Z,PT31M20S,5561591,143058,36553
5 JavaScript Mistakes Every Beginner Must Avoid 🔥,2023-09-25T11:30:32Z,PT10M56S,247703,9934,541
Lets Build Dropbox Clone in 5 Minutes using FileCloud 🔥,2023-09-23T11:41:39Z,PT11M55S,18730,754,137
Lets Build an AI Voice Assisted  Using ChatGPT API | ChatGPT API Tutorial | Generative AI Series 🔥,2023-09-21T14:16:16Z,PT1H19M5S,120355,3178,259
Sigma Web Development Course - Coming Soon 🔥,2023-09-18T10:40:10Z,PT33S,117243,9966,1640
How Python Works 🐍,2023-09-17T16:30:10Z,PT56S,194526,14642,110
"Let's Build an Email Validator with HTML, CSS, and JavaScript 🔥",2023-09-15T05:30:01Z,PT50M32S,97738,2671,235
VS Code Server Preview Trick on Mobile! 📱,2023-09-14T16:30:10Z,PT1M,340614,26161,178
The Best Language for DSA 👨‍💻,2023-09-13T11:30:23Z,PT57S,1647107,97809,1165
Windows Vs Linux Vs Mac for Coding 💻,2023-09-12T11:30:02Z,PT43S,535868,29442,347
HTML/CSS/JavaScript vs Frameworks,2023-09-11T11:30:06Z,PT52S,290198,24398,112
"How to install, setup, and use phpMyAdmin with MySQL on Linux 🔥",2023-09-10T11:30:07Z,PT12M23S,17724,425,147
5 Effective Tips to Learn Python Fast (Pro Hacks)🔥,2023-09-05T11:30:24Z,PT8M51S,457828,15024,624
"Lets build a Password Manager using HTML, CSS and JavaScript (Use it!)",2023-09-04T11:30:13Z,PT1H14M48S,106616,2762,234
How to use VS Code in an Android Phone (Updated Video),2023-09-03T13:34:36Z,PT8M7S,494706,13439,1775
Amazing ChatGPT Trick 🔥,2023-09-02T05:30:04Z,PT47S,2689087,121105,789
💰 Money Saving trick 99% people don't know 💲,2023-09-01T06:56:31Z,PT42S,374065,33023,235
Quick Gmail Trick 🔥,2023-08-27T10:52:18Z,PT1M,1145513,86534,469
Quick VS Code Trick 🔥,2023-08-26T16:30:04Z,PT41S,85400,7235,62
Installing Ubuntu GUI Desktop on a Linux VPS on Linode 🔥,2023-08-26T11:30:14Z,PT10M31S,33671,775,202
Best AI Tool for Images 🔥,2023-08-25T16:30:00Z,PT45S,78031,6780,31
"₹19,000 PC Build for Developers: Amazon Order, Unboxing, and Analysis (Unbelievable!)",2023-08-24T11:30:03Z,PT14M22S,358618,11251,737
The Android Developer Roadmap for 2024 (Right Way) 🔥,2023-08-23T11:38:12Z,PT21M12S,499157,18318,1220
"[Project] Build Your Own Currency Converter: A Step-by-Step Guide using HTML, CSS, and JavaScript",2023-08-22T11:30:15Z,PT1H6M34S,97365,2313,170
Creating an Article Generator Website using Langchain and OpenAI | Generative AI Series 🔥,2023-08-19T11:30:13Z,PT53M35S,47375,1079,110
Avoid Buying Older MacBooks - Here's Why! 💻,2023-08-18T15:36:30Z,PT9M12S,25751,1300,188
Microsoft Owns Everything 👨‍💻👨‍💻,2023-08-17T16:30:06Z,PT34S,366063,33359,301
Copy Paste like a Pro!,2023-08-16T16:30:09Z,PT1M,269624,20443,181
New Operating System for India 🔥,2023-08-15T16:30:11Z,PT35S,214147,14537,204
FrontEnd Development is Dead? ☠️☠️,2023-08-14T16:30:06Z,PT58S,197618,17505,140
Copied Projects in your Resume ⚠️⚠️,2023-08-13T16:30:08Z,PT1M,386844,27242,95
ChatGPT Passed Turing Test 😵😵,2023-08-12T05:30:05Z,PT51S,107604,6852,47
SSH Key based Authentication on Linux servers 🔥,2023-08-10T11:30:21Z,PT25M40S,28266,778,225
Amazing Cheatsheet Website!,2023-08-08T16:30:13Z,PT40S,154844,19954,61
Fastest Way to Make Money from Web Development 🤑💰,2023-08-05T12:27:20Z,PT21M30S,389958,18999,968
LangChain Tutorial for Beginners | Generative AI Series 🔥,2023-08-04T11:04:31Z,PT1H4M46S,236230,5322,408
Use AI to your Advantage 😈,2023-08-02T17:00:11Z,PT55S,149849,15786,90
This AI Website Builder Creates Websites in Few Seconds 🔥,2023-08-01T11:30:02Z,PT15M51S,132870,4391,568
Prank using Python!,2023-07-30T14:39:14Z,PT23S,253353,21028,96
First Programming Language!,2023-07-29T02:26:12Z,PT45S,718616,52328,763
Bet you don't know this VS Code Trick 🔥,2023-07-27T16:30:07Z,PT1M,69857,6753,45
How to Install Windows on a Linux VPS (3GBPS Internet) 🔥,2023-07-27T11:30:09Z,PT14M17S,34085,762,195
End of StackOverflow?,2023-07-26T16:30:04Z,PT55S,93931,8617,103
A VPN Replacement Programmers should know about! (Secure Next.js & more) 🔥,2023-07-26T05:30:12Z,PT32M4S,16330,576,206
console.log of CSS 🔥,2023-07-25T16:30:04Z,PT59S,223894,19666,226
Is DSA Dead? 😵😵,2023-07-24T16:30:08Z,PT1M,183139,15054,126
Dont Make This Coding Mistake ❌❌,2023-07-23T14:42:01Z,PT56S,141418,12849,97
How to Confuse a Python Developer - Part 2 👨‍💻,2023-07-22T16:30:08Z,PT57S,199268,18969,105
Learn to Push Your Code to GitHub in 10 Minutes (Beginner Video) 🔥,2023-07-22T11:30:31Z,PT11M13S,1174873,22985,590
DeepFake on Windows is now so easy! (This is Scary Artificial Intelligence) 🔥,2023-07-18T10:49:35Z,PT11M49S,276976,6555,518
Buying a Macbook? Lets talk about it! 💻,2023-07-16T14:53:38Z,PT13M20S,545839,14437,1008
Top PC Builds for 2024 (You wont regret building these) 💻,2023-07-15T15:34:16Z,PT23M32S,79965,2836,362
5 Mind Blowing AI Tools You Wont Believe Existed (Use These) 🔥,2023-07-09T12:30:08Z,PT24M50S,284164,11559,3108
Best Laptops to buy today (Buy these) 🔥 💻,2023-07-08T16:03:21Z,PT26M12S,524432,14409,1091
How to Actually Get a Job in Web Development (Get Hired) 👨‍💻,2023-07-07T17:19:35Z,PT11M29S,555683,27210,1562
How to Adapt ChatGPT's Impact on Your Coding Journey 👩‍💻👨‍💻,2023-07-06T05:30:09Z,PT11M53S,85138,3470,268
AI Workflow Automation | Automate all your tasks with this tool 🔥🔥,2023-07-05T06:19:29Z,PT21M24S,38448,1243,85
Linux Cronjob Tutorial | Learn Linux Cronjobs 🔥,2023-07-03T12:07:27Z,PT18M22S,50934,1274,135
MongoDB for Data Professionals | Data Analysis Tools in MongoDB 🔥,2023-07-02T11:30:23Z,PT50M6S,19769,667,93
Creating a Meme Coin Using Starton 🔥,2023-07-01T14:32:51Z,PT9M33S,32132,1077,142
Lets Build a Stock Management System in using MongoDB 🍃 and Next.js 🔥,2023-06-30T15:01:25Z,PT2H16M38S,99351,2313,207
A Dream Gadget for all Coders 😍😍😍,2023-06-29T12:41:46Z,PT10M24S,107435,4172,383
50 Linux Commands Every Developer Must Know 🔥,2023-06-27T11:30:16Z,PT40M32S,352802,8246,255
HarryGPT - An AI Based Discord Bot 🔥 | Generative AI Series,2023-06-24T14:51:31Z,PT1H46S,280554,5271,338
Web Scraping using Scrapy | Scrapy Tutorial + Storing Data to MongoDB 🍃,2023-06-21T11:30:04Z,PT50M3S,57411,1165,171
"Lets Build a Dall-E Image Generator Using OpenAI, Flask & Replit | Generative AI Series 🔥",2023-06-19T11:30:15Z,PT50M40S,146822,3198,280
Enabling HTTPS on Linode Using Certbot - A Step-by-Step Guide 🔥,2023-06-16T12:26:19Z,PT18M15S,17201,493,100
"Lets Build a Blog Using Appwrite Cloud, Next.js and Tailwind CSS - Step by Step Tutorial 🔥",2023-06-14T11:30:08Z,PT55M1S,25241,693,146
"Improving our Portfolio Website using HTML, CSS, JavaScript and React 🔥",2023-06-13T15:35:47Z,PT43M36S,169480,3948,264
Clone any Audio using AI with this free tool (For Free) 🔥,2023-06-08T11:30:10Z,PT7M2S,232730,5660,310
This Free AI Image generator will blow your mind!,2023-06-07T11:14:12Z,PT7M18S,949773,12505,533
"Extracting Product Data from E-Commerce Website using Python, Requests and Live Proxies",2023-06-05T11:30:08Z,PT1H10M20S,29374,971,142
"How to Host a Flask App on Linode for Production using uWSGI, Nginx & Ubuntu | Step-by-Step Tutorial",2023-06-04T11:30:07Z,PT16M41S,25257,598,100
Making money in Cybersecurity 💰,2023-06-04T07:31:39Z,PT1M,161111,13380,125
How to Generate an NFT Collection using AI via Starton API?,2023-06-02T11:30:12Z,PT13M6S,22217,890,147
"FastAPI Tutorial in Hindi | Lets build a Notes app using FastAPI, MongoDB & Bootstrap 🔥",2023-05-31T11:30:01Z,PT1H16M37S,265047,4365,259
Hidden VS Code Feature 🔥,2023-05-28T16:45:01Z,PT50S,125169,10664,76
Is Python really dead?? (The real truth) ☠️,2023-05-27T15:49:39Z,PT10M54S,306033,10585,764
"Python Project: Creating a GUI Downloader Using Python, Requests and Tkinter 🔥",2023-05-25T11:30:17Z,PT55M10S,34166,1102,174
Your Browser is not Secure! (Here's Why),2023-05-21T11:30:23Z,PT10M31S,105478,4967,461
"Personal Portfolio website using HTML, CSS and JavaScript (from scratch) 🔥",2023-05-19T11:30:18Z,PT1H14M5S,1490465,28548,945
"ChatGPT Clone using OpenAI, Flask, HTML, TailwindCSS, & MongoDB (Amazing Frontend Project) 🔥🔥",2023-05-17T11:30:12Z,PT2H15M53S,167920,4543,360
Animate your Drawings (Killer AI) 🔥,2023-05-15T17:00:03Z,PT29S,115563,10456,89
J.A.R.V.I.S - OpenAI + Python  Powered AI Desktop Assistant that Talks Like a Human (FROM SCRATCH!),2023-05-14T11:47:59Z,PT1H21M29S,1152088,27829,1767
Web Scraping Tutorial Using Python | BeautifulSoup Tutorial 🔥,2023-05-12T11:30:01Z,PT1H5M10S,295128,5414,295
MongoDB Tutorial in 1 Hour (2024) 🍃,2023-05-10T11:30:13Z,PT1H22M57S,1035570,17785,854
I Created this website using Pure Python | Anvil Tutorial 🔥,2023-05-09T11:30:00Z,PT27M47S,547912,12295,420
AI For UpScaling Videos 🔥,2023-05-07T17:00:34Z,PT32S,329952,17039,188
How to Deploy a High Traffic Django Application using WSGI,2023-05-06T11:30:18Z,PT22M28S,17277,447,117
Lets Build a Todos List App using Next.js 13 🔥,2023-05-05T11:30:19Z,PT1H3M5S,36709,1102,163
Google Says AI is Scary 💻,2023-05-04T11:30:30Z,PT41S,305272,23970,230
Get your Laptop Battery Report 💻,2023-05-02T14:14:49Z,PT32S,283933,19012,135
Windows PowerShell/Terminal Autocomplete,2023-05-01T06:27:31Z,PT50S,163869,8552,131
Using MongoDB with Flask Applications (Efficiently),2023-04-28T11:30:20Z,PT9M47S,43793,928,240
Backend Average Salary 💰,2023-04-27T11:30:05Z,PT57S,304833,25374,198
How to use TailwindCSS with Python Flask?,2023-04-26T12:18:01Z,PT12M32S,26707,760,157
Image Editing Website using Python Flask and OpenCV,2023-04-25T11:53:55Z,PT40M4S,63125,1767,184
Salary of a Frontend Developer 💵,2023-04-25T06:16:40Z,PT59S,798416,58952,499
VS Code Snippets Tutorial 👨‍💻,2023-04-21T12:00:36Z,PT1M,217808,15587,68
Elon Musk's Interview Question 🏪,2023-04-20T11:26:23Z,PT39S,442976,30842,197
Password generator in Python!,2023-04-15T11:30:06Z,PT31S,642794,45805,230
VS Code Mouse Wheel Trick 🔥,2023-04-15T06:10:39Z,PT25S,121009,10732,120
ChatGPT ❌,2023-04-14T11:36:44Z,PT1M,181883,13941,216
ChatGPT fooled a human!,2023-04-13T06:43:08Z,PT37S,704019,49417,477
How to Host Multiple Websites on a $5 Server (Step by Step Guide),2023-04-10T11:30:20Z,PT19M46S,39573,1166,307
Learn Web Development Fast!,2023-04-09T16:30:07Z,PT53S,966019,95408,2861
Exploring Requests Module in Python (Deepdive),2023-04-08T12:57:48Z,PT58M52S,48445,1404,202
5 Tricks of Google Search,2023-04-07T17:00:37Z,PT57S,224843,23229,105
Download More Ram 💻,2023-04-06T16:30:05Z,PT40S,275895,21601,1105
Quick and Easy Guide to Set up Your WordPress Blog in Minutes (Fastest Way),2023-04-06T11:30:30Z,PT11M13S,37536,1276,193
ChatGPT is Good for Jobs!,2023-04-05T09:14:04Z,PT58S,147097,12469,81
Aws Activate for Startups!,2023-04-04T06:30:11Z,PT48S,186276,11054,53
Fake Windows Update 💻,2023-03-30T11:56:27Z,PT33S,193146,14969,228
ChatGPT helped me create this KBC Quiz App (Watch me Build it),2023-03-29T11:30:26Z,PT1H5M1S,83638,2378,327
Fastest Way to Learn React in 2024 🔥,2023-03-28T16:30:01Z,PT47S,890035,56824,2555
Python Crash Course in Hindi | 5 Python Projects | Complete Python Tutorial,2023-03-25T13:37:43Z,PT3H8M46S,1293035,33783,2451
Python vs JavaScript: Which one to Learn in 2024? (For Jobs),2023-03-18T05:30:13Z,PT8M25S,473392,16331,954
"Choosing the Right Python Web Framework: Django, Flask, or FastAPI?",2023-03-15T11:30:16Z,PT12M48S,229031,5645,366
What is a Graph Database? | Getting Started with Neo4j AuraDB: A Step-by-Step Tutorial 🔥,2023-03-14T15:06:23Z,PT14M26S,63440,1723,169
Free Office 365 on your Own Server (NextCloud Tutorial),2023-03-13T11:30:02Z,PT12M6S,34922,1055,117
Stop Saving Your Passwords like this (Use Passky Instead!),2023-03-12T11:30:06Z,PT10M31S,25978,1158,157
Install VS Code/FireFox like Apps on Ubuntu Server (Get 1GBPS Internet Speed for Free),2023-03-11T11:30:04Z,PT12M25S,32162,1019,161
